     |       0    |       1    |       2    |       3    |       4    |
----------------------------------------------------------------------
   0 |          0           0           0           0           0 
   1 |          0   9.186e-06   3.075e-05   2.723e-05   2.632e-05 
   2 |          0   3.075e-05   0.0002908   0.0002257   0.0002198 
   3 |          0   2.723e-05   0.0002257   0.0002743   0.0002387 
   4 |          0   2.632e-05   0.0002198   0.0002387   0.0002271 
   5 |          0   2.944e-05   0.0002504   0.0002815   0.0002804 
   6 |          0   2.639e-05   0.0002262    0.000296   0.0002741 
   7 |          0   3.091e-05   0.0001665    0.000234   0.0001989 
   8 |          0    2.87e-05   0.0001471   0.0001682   0.0001463 
   9 |          0   1.264e-05     0.00013   0.0001412   0.0001271 
  10 |          0  -2.318e-06   0.0001258   0.0001472     0.00013 
  11 |          0           0           0           0           0 
  12 |          0           0           0           0           0 
  13 |          0           0           0           0           0 
  14 |          0           0           0           0           0 


     |       5    |       6    |       7    |       8    |       9    |
----------------------------------------------------------------------
   0 |          0           0           0           0           0 
   1 |  2.944e-05   2.639e-05   3.091e-05    2.87e-05   1.264e-05 
   2 |  0.0002504   0.0002262   0.0001665   0.0001471     0.00013 
   3 |  0.0002815    0.000296    0.000234   0.0001682   0.0001412 
   4 |  0.0002804   0.0002741   0.0001989   0.0001463   0.0001271 
   5 |  0.0004163   0.0004428   0.0002877   0.0001669   0.0001424 
   6 |  0.0004428   0.0005745   0.0004872   0.0003154   0.0002232 
   7 |  0.0002877   0.0004872   0.0007017   0.0006222   0.0003841 
   8 |  0.0001669   0.0003154   0.0006222   0.0006428   0.0004036 
   9 |  0.0001424   0.0002232   0.0003841   0.0004036   0.0003091 
  10 |  0.0001528   0.0002009   0.0002268   0.0002158   0.0002227 
  11 |          0           0           0           0           0 
  12 |          0           0           0           0           0 
  13 |          0           0           0           0           0 
  14 |          0           0           0           0           0 


     |      10    |      11    |      12    |      13    |      14    |
----------------------------------------------------------------------
   0 |          0           0           0           0           0 
   1 | -2.318e-06           0           0           0           0 
   2 |  0.0001258           0           0           0           0 
   3 |  0.0001472           0           0           0           0 
   4 |    0.00013           0           0           0           0 
   5 |  0.0001528           0           0           0           0 
   6 |  0.0002009           0           0           0           0 
   7 |  0.0002268           0           0           0           0 
   8 |  0.0002158           0           0           0           0 
   9 |  0.0002227           0           0           0           0 
  10 |  0.0002326           0           0           0           0 
  11 |          0           0           0           0           0 
  12 |          0           0           0           0           0 
  13 |          0           0           0           0           0 
  14 |          0           0           0           0           0 

